,Andorra,Argentina,Aruba,Australia,Austria,Bahamas,Bahrain,Barbados,Belgium,Benin,Bermuda,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guyana,Honduras,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Malta,Martinique,Mexico,Moldova,Monaco,Montenegro,Morocco,Mozambique,Netherlands,New Caledonia,New Zealand,Nigeria,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saint Martin (French part),San Marino,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,World
2022-05-07,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0
2022-05-14,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
2022-05-21,,,,2.0,,,,,3.0,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,1.0,3.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,37.0,,,,,,,,,,,,,,23.0,,,1.0,1.0,,,,,26.0,,,,,108.0
2022-05-28,,,,0.0,1.0,,,,3.0,,,,,,,,,0.0,,,,0.0,,,,,,5.0,,2.0,,,,,,0.0,6.0,,14.0,,,,,,,,,,,,,,,5.0,0.0,5.0,,0.0,,,,,,,,,,,,,,,26.0,,,0.0,,,,,,,37.0,,,,,,,,,,,2.0,,,17.0,,,1.0,2.0,,,,4.0,77.0,,,,,207.0
2022-06-04,,2.0,,3.0,0.0,,,,11.0,,,,,,,,77.0,0.0,,,,0.0,,,,,,1.0,,0.0,,,,,,1.0,44.0,,50.0,,1.0,,,,,,,,1.0,,,,,2.0,1.0,12.0,,0.0,,1.0,,,,,1.0,,1.0,,,,1.0,,14.0,,,2.0,2.0,,,,,,69.0,,,,,,,,,,,1.0,,,146.0,,,3.0,5.0,,,,4.0,119.0,21.0,,,,596.0
2022-06-11,,0.0,,2.0,0.0,,,,7.0,,,,,1.0,,,35.0,0.0,,,,0.0,,,,,,0.0,,1.0,,,,,,0.0,40.0,,100.0,,0.0,0.0,,,,,,,1.0,0.0,,,,4.0,2.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,,14.0,,,10.0,0.0,,,,,,66.0,,,,,,,,,,,3.0,,,73.0,,,1.0,4.0,,,,5.0,141.0,28.0,,,,538.0
2022-06-18,,1.0,,1.0,10.0,,,,38.0,3.0,,,,6.0,,3.0,57.0,0.0,1.0,,,0.0,,,,,,0.0,10.0,5.0,,,,,,1.0,92.0,1.0,173.0,5.0,0.0,2.0,,,,,,,4.0,3.0,,,,1.0,2.0,51.0,,0.0,,1.0,,,,1.0,1.0,,8.0,,,,0.0,,41.0,,,5.0,2.0,,,,,1.0,67.0,,,4.0,,,,,1.0,,,1.0,,,238.0,,,4.0,19.0,,,,0.0,208.0,51.0,,1.0,,1124.0
2022-06-25,,1.0,,1.0,9.0,,,,15.0,0.0,,,,10.0,2.0,0.0,66.0,0.0,2.0,1.0,3.0,0.0,,1.0,,,,1.0,0.0,5.0,,,,,,1.0,147.0,0.0,338.0,0.0,0.0,1.0,,,,,,,6.0,0.0,,,,14.0,10.0,56.0,,0.0,,0.0,1.0,,,2.0,0.0,,2.0,,,,0.0,,116.0,,,5.0,0.0,,,,,6.0,72.0,,,2.0,,,,,0.0,1.0,,2.0,1.0,1.0,239.0,,,3.0,24.0,,,,0.0,336.0,75.0,,0.0,,1578.0
2022-07-02,,2.0,,3.0,17.0,1.0,,,40.0,0.0,,,,41.0,1.0,0.0,52.0,0.0,3.0,0.0,0.0,0.0,,0.0,,,,1.0,0.0,7.0,,,,,1.0,0.0,168.0,0.0,378.0,0.0,0.0,0.0,,,,,,,6.0,1.0,,,,11.0,26.0,65.0,,0.0,,0.0,0.0,,,0.0,4.0,,12.0,,,,0.0,,77.0,,,21.0,11.0,,,3.0,,3.0,67.0,1.0,,5.0,,,,,0.0,0.0,,0.0,1.0,0.0,64.0,,,15.0,60.0,,1.0,,0.0,325.0,221.0,,0.0,,1715.0
2022-07-09,,0.0,,8.0,0.0,0.0,,,52.0,0.0,,,,147.0,0.0,1.0,88.0,1.0,7.0,0.0,3.0,0.0,,0.0,,,,0.0,68.0,6.0,1.0,1.0,,,1.0,9.0,79.0,0.0,331.0,14.0,0.0,8.0,,,,,,,4.0,2.0,,,,5.0,17.0,41.0,1.0,0.0,,0.0,0.0,,,3.0,3.0,,7.0,,,,0.0,,114.0,,,0.0,4.0,1.0,,15.0,,3.0,0.0,0.0,,1.0,,,,,0.0,1.0,1.0,5.0,0.0,0.0,677.0,,,15.0,16.0,,0.0,,0.0,116.0,303.0,,0.0,,2180.0
