,Andorra,Argentina,Aruba,Australia,Austria,Bahamas,Bahrain,Barbados,Belgium,Benin,Bermuda,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guyana,Honduras,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Malta,Martinique,Mexico,Moldova,Monaco,Montenegro,Morocco,Mozambique,Netherlands,New Caledonia,New Zealand,Nigeria,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saint Martin (French part),San Marino,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,World
2022-05-07,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,18.0
2022-05-14,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,20.0
2022-05-21,,,,2.0,,,,,3.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,1.0,3.0,,0.0,,,,,,,,,,,,,,,,,,19.0,,,,,,,37.0,,,,,,,,,,,,,,23.0,,,1.0,1.0,,,,,29.0,,,,,128.0
2022-05-28,,,,2.0,1.0,,,,6.0,,,,,,,,,2.0,,,,2.0,,,,,,5.0,,2.0,,,,,,1.0,7.0,,15.0,,,,,,,,,,,,,,,7.0,1.0,8.0,,0.0,,,,,,,,,,,,,,,26.0,,,19.0,,,,,,,74.0,,,,,,,,,,,2.0,,,40.0,,,2.0,3.0,,,,4.0,106.0,,,,,335.0
2022-06-04,,2.0,,5.0,1.0,,,,17.0,,,,,,,,77.0,2.0,,,,2.0,,,,,,6.0,,2.0,,,,,,2.0,51.0,,65.0,,1.0,,,,,,,,1.0,,,,,9.0,2.0,20.0,,0.0,,1.0,,,,,1.0,,1.0,,,,1.0,,40.0,,,21.0,2.0,,,,,,143.0,,,,,,,,,,,3.0,,,186.0,,,5.0,8.0,,,,8.0,225.0,21.0,,,,931.0
2022-06-11,,2.0,,7.0,1.0,,,,24.0,,,,,1.0,,,112.0,2.0,,,,2.0,,,,,,6.0,,3.0,,,,,,2.0,91.0,,165.0,,1.0,0.0,,,,,,,2.0,0.0,,,,13.0,4.0,20.0,,0.0,,1.0,,,,,1.0,,1.0,,,,1.0,,54.0,,,31.0,2.0,,,,,,209.0,,,,,,,,,,,6.0,,,259.0,,,6.0,12.0,,,,13.0,366.0,49.0,,,,1469.0
2022-06-18,,3.0,,8.0,11.0,,,,62.0,3.0,,,,7.0,,3.0,169.0,2.0,1.0,,,2.0,,,,,,6.0,10.0,8.0,,,,,,3.0,183.0,1.0,338.0,5.0,1.0,2.0,,,,,,,6.0,3.0,,,,14.0,6.0,71.0,,0.0,,2.0,,,,1.0,2.0,,9.0,,,,1.0,,95.0,,,36.0,4.0,,,,,1.0,276.0,,,4.0,,,,,1.0,,,7.0,,,497.0,,,10.0,31.0,,,,13.0,574.0,100.0,,1.0,,2593.0
2022-06-25,,4.0,,9.0,20.0,,,,77.0,3.0,,,,17.0,2.0,3.0,235.0,2.0,3.0,1.0,3.0,2.0,,1.0,,,,7.0,10.0,13.0,,,,,,4.0,330.0,1.0,676.0,5.0,1.0,3.0,,,,,,,12.0,3.0,,,,28.0,16.0,127.0,,0.0,,2.0,1.0,,,3.0,2.0,,11.0,,,,1.0,,211.0,,,41.0,4.0,,,,,7.0,348.0,,,6.0,,,,,1.0,1.0,,9.0,1.0,1.0,736.0,,,13.0,55.0,,,,13.0,910.0,175.0,,1.0,,4171.0
2022-07-02,,6.0,,12.0,37.0,1.0,,,117.0,3.0,,,,58.0,3.0,3.0,287.0,2.0,6.0,1.0,3.0,2.0,,1.0,,,,8.0,10.0,20.0,,,,,1.0,4.0,498.0,1.0,1054.0,5.0,1.0,3.0,,,,,,,18.0,4.0,,,,39.0,42.0,192.0,,0.0,,2.0,1.0,,,3.0,6.0,,23.0,,,,1.0,,288.0,,,62.0,15.0,,,3.0,,10.0,415.0,1.0,,11.0,,,,,1.0,1.0,,9.0,2.0,1.0,800.0,,,28.0,115.0,,1.0,,13.0,1235.0,396.0,,1.0,,5886.0
2022-07-09,,6.0,,20.0,37.0,1.0,,,169.0,3.0,,,,205.0,3.0,4.0,375.0,3.0,13.0,1.0,6.0,2.0,,1.0,,,,8.0,78.0,26.0,1.0,1.0,,,2.0,13.0,577.0,1.0,1385.0,19.0,1.0,11.0,,,,,,,22.0,6.0,,,,44.0,59.0,233.0,1.0,0.0,,2.0,1.0,,,6.0,9.0,,30.0,,,,1.0,,402.0,,,62.0,19.0,1.0,,18.0,,13.0,415.0,1.0,,12.0,,,,,1.0,2.0,1.0,14.0,2.0,1.0,1477.0,,,43.0,131.0,,1.0,,13.0,1351.0,699.0,,1.0,,8066.0
2022-07-16,,13.0,,33.0,74.0,1.0,,,225.0,3.0,,,0.0,310.0,3.0,7.0,539.0,3.0,16.0,2.0,7.0,2.0,,3.0,,,,11.0,85.0,33.0,1.0,1.0,,,2.0,13.0,912.0,1.0,1790.0,19.0,5.0,13.0,,,,,,,28.0,7.0,1.0,,,54.0,80.0,292.0,1.0,0.0,,2.0,1.0,,,8.0,9.0,,40.0,,,,1.0,,549.0,,2.0,84.0,35.0,1.0,,55.0,,22.0,515.0,4.0,,16.0,1.0,,,1.0,5.0,6.0,2.0,20.0,3.0,1.0,2447.0,,,58.0,189.0,,1.0,,13.0,1735.0,1466.0,,1.0,,11884.0
2022-07-23,,18.0,,42.0,91.0,1.0,,1.0,312.0,3.0,1.0,,1.0,592.0,3.0,7.0,681.0,3.0,20.0,2.0,10.0,2.0,1.0,8.0,,,,14.0,163.0,51.0,3.0,2.0,,,4.0,13.0,1453.0,1.0,2268.0,19.0,5.0,20.0,,,,,,,33.0,9.0,2.0,,,69.0,105.0,374.0,1.0,0.0,,3.0,4.0,,,14.0,17.0,1.0,54.0,,,,1.0,,712.0,,2.0,101.0,46.0,1.0,,143.0,,40.0,588.0,11.0,1.0,19.0,1.0,,,2.0,5.0,6.0,3.0,27.0,3.0,1.0,3125.0,,,77.0,216.0,1.0,1.0,,13.0,2137.0,2582.0,,1.0,,16368.0
2022-07-30,3.0,20.0,,45.0,118.0,1.0,,1.0,393.0,3.0,1.0,,1.0,978.0,4.0,7.0,803.0,3.0,55.0,2.0,12.0,2.0,3.0,11.0,,,,16.0,163.0,81.0,3.0,3.0,,,5.0,17.0,1837.0,1.0,2595.0,30.0,5.0,32.0,,,,,,,37.0,9.0,4.0,,,85.0,121.0,426.0,2.0,2.0,,3.0,4.0,,,23.0,17.0,1.0,59.0,,,,1.0,,879.0,,2.0,117.0,51.0,1.0,,269.0,1.0,53.0,633.0,13.0,2.0,20.0,1.0,,,3.0,10.0,11.0,6.0,33.0,3.0,1.0,3738.0,,,85.0,264.0,2.0,1.0,,,2432.0,4897.0,,1.0,,21594.0
2022-08-06,4.0,31.0,,58.0,154.0,1.0,,1.0,482.0,3.0,1.0,3.0,1.0,1721.0,4.0,7.0,957.0,3.0,68.0,3.0,22.0,2.0,3.0,12.0,,,1.0,26.0,163.0,108.0,4.0,7.0,,,9.0,22.0,2239.0,1.0,2887.0,35.0,5.0,39.0,,1.0,,2.0,,,42.0,10.0,9.0,,,97.0,160.0,505.0,3.0,3.0,,3.0,6.0,2.0,3.0,31.0,17.0,1.0,91.0,,,1.0,1.0,,959.0,,3.0,157.0,64.0,1.0,,340.0,1.0,63.0,710.0,21.0,2.0,22.0,1.0,1.0,,5.0,10.0,15.0,6.0,37.0,3.0,1.0,4577.0,,1.0,111.0,312.0,4.0,1.0,,,2759.0,7083.0,2.0,1.0,,27365.0
